Team,Season,Total_Payroll,Win_%,division_winner,playoff_appearance,world_series,world_series_winner,WAR,P_WAR,PP_WAR
Arizona Diamondbacks,2015,"$91,518,833.00 ",0.488,FALSE,FALSE,FALSE,FALSE,32.14,10.58,21.57
Arizona Diamondbacks,2016,"$70,762,833.00 ",0.426,FALSE,FALSE,FALSE,FALSE,27.18,10.11,17.07
Arizona Diamondbacks,2017,"$93,257,600.00 ",0.574,FALSE,TRUE,FALSE,FALSE,44.66,22.86,21.8
Arizona Diamondbacks,2018,"$132,500,000.00 ",0.506,FALSE,FALSE,FALSE,FALSE,32.2,11.98,20.21
Arizona Diamondbacks,2019,"$118,000,000.00 ",0.525,FALSE,FALSE,FALSE,FALSE,36.26,12.86,23.4
Arizona Diamondbacks,2021,"$89,077,233.00 ",0.321,FALSE,FALSE,FALSE,FALSE,13.15,2.38,10.78
Arizona Diamondbacks,2022,"$75,993,333.00 ",0.457,FALSE,FALSE,FALSE,FALSE,25.98,6.75,19.23
Arizona Diamondbacks,2023,"$112,763,571.00 ",0.519,FALSE,TRUE,TRUE,FALSE,32.92,12.92,20
Arizona Diamondbacks,2024,"$156,511,716.00 ",0.543,FALSE,FALSE,FALSE,FALSE,46.67,12.29,34.38
Arizona Diamondbacks,2025,"$174,000,000.00 ",0.494,FALSE,FALSE,FALSE,FALSE,35.57,8.7,26.86
Atlanta Braves,2015,"$97,578,565.00 ",0.414,FALSE,FALSE,FALSE,FALSE,19.9,9.99,9.9
Atlanta Braves,2016,"$87,622,648.00 ",0.422,FALSE,FALSE,FALSE,FALSE,21.27,9.02,12.25
Atlanta Braves,2017,"$112,437,541.00 ",0.444,FALSE,FALSE,FALSE,FALSE,23.21,8.96,14.25
Atlanta Braves,2018,"$120,540,000.00 ",0.556,TRUE,TRUE,FALSE,FALSE,39.9,15.07,24.83
Atlanta Braves,2019,"$144,000,000.00 ",0.599,TRUE,TRUE,FALSE,FALSE,38.41,12.41,26
Atlanta Braves,2021,"$134,459,435.00 ",0.547,TRUE,TRUE,TRUE,TRUE,39.21,15.45,23.76
Atlanta Braves,2022,"$173,935,000.00 ",0.623,TRUE,TRUE,FALSE,FALSE,51.42,22.18,29.24
Atlanta Braves,2023,"$199,727,500.00 ",0.642,TRUE,TRUE,FALSE,FALSE,57.66,16.32,41.34
Atlanta Braves,2024,"$225,315,000.00 ",0.549,FALSE,TRUE,FALSE,FALSE,42.33,23.62,18.71
Atlanta Braves,2025,"$202,000,000.00 ",0.469,FALSE,FALSE,FALSE,FALSE,30.66,11.4,19.26
Baltimore Orioles,2015,"$110,146,097.00 ",0.5,FALSE,FALSE,FALSE,FALSE,33.43,15.75,17.67
Baltimore Orioles,2016,"$115,587,632.00 ",0.549,FALSE,TRUE,FALSE,FALSE,37.24,15.74,21.5
Baltimore Orioles,2017,"$163,676,616.00 ",0.463,FALSE,FALSE,FALSE,FALSE,16.9,5.36,11.54
Baltimore Orioles,2018,"$143,090,000.00 ",0.29,FALSE,FALSE,FALSE,FALSE,12.01,7.11,4.89
